index,stop_code,stop_name,stop_desc,stop_lat,stop_lon
425,67,AVENIDA DE LA PAZ,Avda de Ramón y Cajal 107,40.45354,-3.66118
429,68,ARTURO SORIA,Calle de Arturo Soria 172,40.45583,-3.65618
434,69,ESPERANZA,Calle de Andorra 51,40.45945,-3.64582
436,70,CANILLAS,Avda de Machupichu 64,40.46381,-3.6356
442,71,MAR DE CRISTAL,Gta del Mar de Cristal 1 B,40.46943,-3.63832
447,72,SAN LORENZO,Avda de la Barranquilla 9,40.47447,-3.63958
451,73,PARQUE DE SANTA MARIA,Calle de Santa Virgilia 1,40.47711,-3.64524
473,100,ALUCHE,Calle de Valmojado 293,40.38563,-3.7608
481,101,EMPALME,Calle de Tembleque 105,40.39057,-3.76535
483,102,CAMPAMENTO,Avda del Padre Piquer 7,40.39481,-3.76813
486,103,CASA DE CAMPO,Ctra del Zoo 1,40.40324,-3.76101
489,252,ALAMEDA DE OSUNA,Calle de la Corbeta 14,40.45779,-3.58752
492,253,EL CAPRICHO,Calle de Pinos de Osuna 15,40.45347,-3.59401
496,74,CANILLEJAS,Calle de Alcalá 631,40.44942,-3.60816
500,75,TORRE ARIAS,Calle de Alcalá 557,40.44374,-3.61699
503,76,SUANZES,Calle de Alcalá 527,40.44085,-3.62684
506,77,CIUDAD LINEAL,Calle de Arturo Soria 2,40.43805,-3.63816
511,78,PUEBLO NUEVO,Calle de Alcalá 372,40.43569,-3.64282
518,79,QUINTANA,Calle de la Virgen del Sagrario 2,40.43358,-3.64736
523,80,EL CARMEN,Calle de Raquel Méller 2,40.43189,-3.65757
528,81,VENTAS,Calle de Alcalá 204,40.43088,-3.66361
529,82,DIEGO DE LEON,Calle de Juan Bravo 58,40.43235,-3.67426
530,83,NUÑEZ DE BALBOA,Calle de Juan Bravo 20,40.43278,-3.68258
534,84,RUBEN DARIO,Paseo de Eduardo Dato 33,40.43316,-3.68954
538,85,ALONSO MARTINEZ,Calle de Almagro 4,40.42828,-3.69502
539,86,CHUECA,Plaza de Chueca 7,40.42293,-3.69762
541,87,GRAN VIA,Calle   Gran Vía 23,40.41999,-3.7018
542,88,CALLAO,Plaza del Callao 3,40.42008,-3.70566
543,89,OPERA,Plaza de Isabel II 9,40.41809,-3.70935
544,90,LA LATINA,Calle de San Millán 5,40.41128,-3.70816
548,91,PUERTA DE TOLEDO,Gta de Puerta de Toledo 1,40.40704,-3.71105
551,93,PIRAMIDES,Paseo del Doctor Vallejo Nágera 37,40.4026,-3.71138
556,94,MARQUES DE VADILLO,Gta del Marqués de Vadillo 4,40.39736,-3.71596
559,95,URGEL,Calle del Camino Viejo de Leganés 1,40.39335,-3.7236
564,96,OPORTO,Gta del Valle de Oro 13,40.38846,-3.73132
569,97,VISTA ALEGRE,Calle de la Oca 74,40.38885,-3.73982
572,98,CARABANCHEL,Gta del Ejército 1,40.38783,-3.74487
574,99,EUGENIA DE MONTIJO,Calle de Ocaña 86,40.38439,-3.75121
601,104,LAGUNA,Calle de Cuart de Poblet 1,40.39923,-3.74429
607,105,CARPETANA,Calle   Vía Carpetana 141,40.3927,-3.74099
612,106,OPORTO,Gta del Valle de Oro 2,40.38847,-3.73126
613,107,OPAÑEL,Calle del Valle de Oro 50 A,40.3869,-3.72313
616,108,PLAZA ELIPTICA,Plaza de Fernández Ladreda 2,40.3846,-3.71837
624,109,USERA,Calle de Amparo Usera 44,40.3871,-3.7069
628,110,LEGAZPI,Plaza de Legazpi 2 B,40.39116,-3.69505
629,111,MENDEZ ALVARO,Calle del Ombu 16,40.39538,-3.67814
635,112,PACIFICO,Calle de Andalucía 2,40.40207,-3.67386
636,113,CONDE DE CASAL,Plaza del Conde de Casal 3,40.40697,-3.67041
642,114,SAINZ DE BARANDA,Calle del Doctor Esquerdo 103,40.41507,-3.66951
649,115,ODONNELL,Calle del Doctor Esquerdo 47,40.42289,-3.6686
654,116,MANUEL BECERRA,Plaza de Manuel Becerra 1,40.4279,-3.66921
655,117,DIEGO DE LEON,Calle de Francisco Silvela 47,40.43295,-3.67294
656,118,AVENIDA DE AMERICA,Avda de América 9 A,40.43804,-3.67658
657,119,REPUBLICA ARGENTINA,Calle de Joaquín Costa 24,40.44379,-3.68406
662,120,NUEVOS MINISTERIOS,Calle de Raimundo Fernández Villaverde 67,40.44662,-3.69241
684,121,CUATRO CAMINOS,Gta de Cuatro Caminos 9,40.44697,-3.70387
685,122,GUZMAN EL BUENO,Calle de Guzmán el Bueno 118,40.44637,-3.71229
691,123,VICENTE ALEIXANDRE,Avda de Gregorio del Amo 4,40.44644,-3.71943
